ID,n_generation,rank_G0,rank_G1,rank_G2,rank_G3,rank_G4,rank_G5,rank_G6
Hyena_317,4,3,2,3,NA,NA,NA,NA
Hyena_318,4,3,2,3,NA,NA,NA,NA
Hyena_319,4,8,4,3,NA,NA,NA,NA
Hyena_320,4,20,7,8,NA,NA,NA,NA
Hyena_321,3,15,7,NA,NA,NA,NA,NA
Hyena_322,4,11,3,3,NA,NA,NA,NA
Hyena_323,4,11,3,3,NA,NA,NA,NA
Hyena_324,3,23,10,NA,NA,NA,NA,NA
Hyena_325,4,4,2,3,NA,NA,NA,NA
Hyena_326,4,4,2,3,NA,NA,NA,NA
Hyena_327,3,1,3,NA,NA,NA,NA,NA
Hyena_328,4,29,24,17,NA,NA,NA,NA
Hyena_329,4,3,2,3,NA,NA,NA,NA
Hyena_330,4,2,1,3,NA,NA,NA,NA
Hyena_331,4,11,4,3,NA,NA,NA,NA
Hyena_332,4,11,4,3,NA,NA,NA,NA
Hyena_333,3,1,3,NA,NA,NA,NA,NA
Hyena_334,5,30,18,20,10,NA,NA,NA
Hyena_335,5,22,9,6,NA,NA,NA,NA
Hyena_336,5,22,9,6,NA,NA,NA,NA
Hyena_337,4,23,7,8,NA,NA,NA,NA
Hyena_338,4,23,7,8,NA,NA,NA,NA
Hyena_339,4,38,14,11,NA,NA,NA,NA
Hyena_340,4,5,2,3,NA,NA,NA,NA
Hyena_341,4,5,2,3,NA,NA,NA,NA
Hyena_342,4,15,4,3,NA,NA,NA,NA
Hyena_343,4,15,4,3,NA,NA,NA,NA
Hyena_344,4,8,2,3,NA,NA,NA,NA
Hyena_345,4,8,2,3,NA,NA,NA,NA
Hyena_346,4,37,19,17,NA,NA,NA,NA
Hyena_347,4,37,19,17,NA,NA,NA,NA
Hyena_348,4,29,7,8,NA,NA,NA,NA
Hyena_349,4,29,7,8,NA,NA,NA,NA
Hyena_350,5,30,14,7,8,NA,NA,NA
Hyena_351,5,30,14,7,8,NA,NA,NA
Hyena_352,3,1,3,NA,NA,NA,NA,NA
Hyena_353,3,1,3,NA,NA,NA,NA,NA
Hyena_354,4,4,2,3,NA,NA,NA,NA
Hyena_355,4,43,30,5,NA,NA,NA,NA
Hyena_356,4,14,4,3,NA,NA,NA,NA
Hyena_357,4,14,4,3,NA,NA,NA,NA
Hyena_358,3,12,3,NA,NA,NA,NA,NA
Hyena_359,4,4,2,3,NA,NA,NA,NA
Hyena_360,4,20,3,1,NA,NA,NA,NA
Hyena_361,5,25,9,6,NA,NA,NA,NA
Hyena_362,4,17,3,3,NA,NA,NA,NA
Hyena_363,4,17,3,3,NA,NA,NA,NA
Hyena_364,5,11,3,2,3,NA,NA,NA
Hyena_365,5,11,3,2,3,NA,NA,NA
Hyena_366,4,46,23,5,NA,NA,NA,NA
Hyena_367,4,46,23,5,NA,NA,NA,NA
Hyena_368,5,7,2,2,3,NA,NA,NA
Hyena_369,4,3,1,3,NA,NA,NA,NA
Hyena_370,4,3,1,3,NA,NA,NA,NA
Hyena_371,4,2,1,3,NA,NA,NA,NA
Hyena_372,4,25,9,7,NA,NA,NA,NA
Hyena_373,4,25,9,7,NA,NA,NA,NA
Hyena_374,3,23,7,NA,NA,NA,NA,NA
Hyena_375,4,43,19,13,NA,NA,NA,NA
Hyena_376,5,6,2,2,3,NA,NA,NA
Hyena_377,5,6,2,2,3,NA,NA,NA
Hyena_378,4,37,24,17,NA,NA,NA,NA
Hyena_379,5,28,9,6,NA,NA,NA,NA
Hyena_380,5,28,9,6,NA,NA,NA,NA
Hyena_381,4,39,19,17,NA,NA,NA,NA
Hyena_382,4,39,19,17,NA,NA,NA,NA
Hyena_383,3,1,3,NA,NA,NA,NA,NA
Hyena_384,4,4,2,3,NA,NA,NA,NA
Hyena_385,4,4,2,3,NA,NA,NA,NA
Hyena_386,5,10,4,2,3,NA,NA,NA
Hyena_387,4,5,2,3,NA,NA,NA,NA
Hyena_388,5,7,2,2,3,NA,NA,NA
Hyena_389,5,7,2,2,3,NA,NA,NA
Hyena_390,4,5,2,3,NA,NA,NA,NA
Hyena_391,5,10,4,2,3,NA,NA,NA
Hyena_392,4,36,24,17,NA,NA,NA,NA
Hyena_393,4,8,2,3,NA,NA,NA,NA
Hyena_394,4,8,2,3,NA,NA,NA,NA
Hyena_395,4,2,1,3,NA,NA,NA,NA
Hyena_396,4,2,1,3,NA,NA,NA,NA
Hyena_397,4,29,7,8,NA,NA,NA,NA
Hyena_398,4,29,7,8,NA,NA,NA,NA
Hyena_399,3,13,3,NA,NA,NA,NA,NA
Hyena_400,3,13,3,NA,NA,NA,NA,NA
Hyena_401,5,11,4,2,3,NA,NA,NA
Hyena_402,4,15,5,3,NA,NA,NA,NA
Hyena_403,4,15,5,3,NA,NA,NA,NA
Hyena_404,5,33,14,7,8,NA,NA,NA
Hyena_405,5,33,14,7,8,NA,NA,NA
Hyena_406,5,34,18,20,10,NA,NA,NA
Hyena_407,4,17,4,3,NA,NA,NA,NA
Hyena_408,4,3,1,3,NA,NA,NA,NA
Hyena_409,5,25,9,6,NA,NA,NA,NA
Hyena_410,5,25,9,6,NA,NA,NA,NA
Hyena_411,3,1,3,NA,NA,NA,NA,NA
Hyena_412,3,1,3,NA,NA,NA,NA,NA
Hyena_413,4,18,3,3,NA,NA,NA,NA
Hyena_414,4,3,1,3,NA,NA,NA,NA
Hyena_415,4,16,4,3,NA,NA,NA,NA
Hyena_416,4,16,4,3,NA,NA,NA,NA
Hyena_417,4,34,19,17,NA,NA,NA,NA
Hyena_418,4,34,19,17,NA,NA,NA,NA
Hyena_419,5,20,9,3,3,NA,NA,NA
Hyena_420,4,21,3,1,NA,NA,NA,NA
Hyena_421,5,12,3,2,3,NA,NA,NA
Hyena_422,5,12,3,2,3,NA,NA,NA
Hyena_423,5,9,4,2,3,NA,NA,NA
Hyena_424,4,36,23,5,NA,NA,NA,NA
Hyena_425,4,36,23,5,NA,NA,NA,NA
Hyena_426,4,37,19,13,NA,NA,NA,NA
Hyena_427,4,37,19,13,NA,NA,NA,NA
Hyena_428,4,34,24,17,NA,NA,NA,NA
Hyena_429,4,34,24,17,NA,NA,NA,NA
Hyena_430,4,2,1,3,NA,NA,NA,NA
Hyena_431,4,2,1,3,NA,NA,NA,NA
Hyena_432,3,1,3,NA,NA,NA,NA,NA
Hyena_433,3,1,3,NA,NA,NA,NA,NA
Hyena_434,4,5,2,3,NA,NA,NA,NA
Hyena_435,4,3,1,3,NA,NA,NA,NA
Hyena_436,4,16,7,3,NA,NA,NA,NA
Hyena_437,4,8,2,3,NA,NA,NA,NA
Hyena_438,4,8,2,3,NA,NA,NA,NA
Hyena_439,5,9,4,2,3,NA,NA,NA
Hyena_440,4,13,2,3,NA,NA,NA,NA
Hyena_441,5,24,9,3,3,NA,NA,NA
Hyena_442,5,33,14,7,8,NA,NA,NA
Hyena_443,5,33,14,7,8,NA,NA,NA
Hyena_444,5,31,20,7,8,NA,NA,NA
Hyena_445,5,15,2,2,3,NA,NA,NA
Hyena_446,4,34,24,17,NA,NA,NA,NA
Hyena_447,5,10,4,2,3,NA,NA,NA
Hyena_448,5,5,3,1,3,NA,NA,NA
Hyena_449,5,5,3,1,3,NA,NA,NA
Hyena_450,5,11,3,2,3,NA,NA,NA
Hyena_451,4,2,1,3,NA,NA,NA,NA
Hyena_452,4,37,19,17,NA,NA,NA,NA
Hyena_453,4,17,4,3,NA,NA,NA,NA
Hyena_454,5,10,4,2,3,NA,NA,NA
Hyena_455,4,14,5,3,NA,NA,NA,NA
Hyena_456,4,14,5,3,NA,NA,NA,NA
Hyena_457,5,7,4,2,3,NA,NA,NA
Hyena_458,5,7,4,2,3,NA,NA,NA
Hyena_459,4,11,7,3,NA,NA,NA,NA
Hyena_460,4,11,7,3,NA,NA,NA,NA
Hyena_461,4,5,2,3,NA,NA,NA,NA
Hyena_462,4,5,2,3,NA,NA,NA,NA
Hyena_463,4,6,2,3,NA,NA,NA,NA
Hyena_464,5,8,4,2,3,NA,NA,NA
Hyena_465,5,17,15,10,5,NA,NA,NA
Hyena_466,4,2,1,3,NA,NA,NA,NA
Hyena_467,4,23,24,17,NA,NA,NA,NA
Hyena_468,4,23,24,17,NA,NA,NA,NA
Hyena_469,5,21,14,7,8,NA,NA,NA
Hyena_470,5,21,14,7,8,NA,NA,NA
Hyena_471,4,12,4,3,NA,NA,NA,NA
Hyena_472,4,12,4,3,NA,NA,NA,NA
Hyena_473,5,14,9,3,3,NA,NA,NA
Hyena_474,4,25,23,5,NA,NA,NA,NA
Hyena_475,4,24,30,5,NA,NA,NA,NA
Hyena_476,4,24,30,5,NA,NA,NA,NA
Hyena_477,6,20,30,14,7,8,NA,NA
Hyena_478,5,3,3,1,3,NA,NA,NA
Hyena_479,5,13,11,3,3,NA,NA,NA
Hyena_480,5,18,20,7,8,NA,NA,NA
Hyena_481,5,18,20,7,8,NA,NA,NA
Hyena_482,4,22,19,17,NA,NA,NA,NA
Hyena_483,5,18,20,7,8,NA,NA,NA
Hyena_484,4,11,5,3,NA,NA,NA,NA
Hyena_485,4,11,5,3,NA,NA,NA,NA
Hyena_486,5,2,4,2,3,NA,NA,NA
Hyena_487,5,2,4,2,3,NA,NA,NA
Hyena_488,4,1,2,3,NA,NA,NA,NA
Hyena_489,4,1,2,3,NA,NA,NA,NA
Hyena_490,5,3,4,2,3,NA,NA,NA
Hyena_491,5,3,4,2,3,NA,NA,NA
Hyena_492,5,4,4,2,3,NA,NA,NA
Hyena_493,4,9,7,3,NA,NA,NA,NA
Hyena_494,4,5,1,3,NA,NA,NA,NA
Hyena_495,4,5,1,3,NA,NA,NA,NA
Hyena_496,6,17,28,9,6,NA,NA,NA
Hyena_497,5,24,43,19,13,NA,NA,NA
Hyena_498,5,24,43,19,13,NA,NA,NA
Hyena_499,5,16,15,10,5,NA,NA,NA
Hyena_500,5,20,14,7,8,NA,NA,NA
Hyena_501,5,20,14,7,8,NA,NA,NA
Hyena_502,4,26,23,5,NA,NA,NA,NA
Hyena_503,4,26,23,5,NA,NA,NA,NA
Hyena_504,4,23,24,17,NA,NA,NA,NA
Hyena_505,4,23,24,17,NA,NA,NA,NA
Hyena_506,6,23,30,14,7,8,NA,NA
Hyena_507,6,23,30,14,7,8,NA,NA
Hyena_508,5,17,9,3,3,NA,NA,NA
Hyena_509,5,19,21,3,1,NA,NA,NA
Hyena_510,5,10,3,1,3,NA,NA,NA
Hyena_511,5,5,4,2,3,NA,NA,NA
Hyena_512,5,5,4,2,3,NA,NA,NA
Hyena_513,4,19,4,3,NA,NA,NA,NA
Hyena_514,4,19,4,3,NA,NA,NA,NA
Hyena_515,5,2,6,2,3,NA,NA,NA
Hyena_516,5,2,6,2,3,NA,NA,NA
Hyena_517,5,3,4,2,3,NA,NA,NA
Hyena_518,4,1,2,3,NA,NA,NA,NA
Hyena_519,6,13,6,2,2,3,NA,NA
Hyena_520,6,13,6,2,2,3,NA,NA
Hyena_521,5,6,4,2,3,NA,NA,NA
Hyena_522,6,4,7,4,2,3,NA,NA
Hyena_523,5,26,20,7,8,NA,NA,NA
Hyena_524,5,26,20,7,8,NA,NA,NA
Hyena_525,4,14,7,3,NA,NA,NA,NA
Hyena_526,5,27,14,7,8,NA,NA,NA
Hyena_527,5,27,14,7,8,NA,NA,NA
Hyena_528,6,7,10,4,2,3,NA,NA
Hyena_529,6,7,10,4,2,3,NA,NA
Hyena_530,4,9,1,3,NA,NA,NA,NA
Hyena_531,4,9,1,3,NA,NA,NA,NA
Hyena_532,4,17,5,3,NA,NA,NA,NA
Hyena_533,5,21,11,3,3,NA,NA,NA
Hyena_534,5,21,11,3,3,NA,NA,NA
