ID,n_generation,rank_G0,rank_G1,rank_G2,rank_G3,rank_G4
Hyena_369,5,3,5,5,11,NA
Hyena_370,3,3,22,NA,NA,NA
Hyena_371,5,2,5,5,11,NA
Hyena_372,5,25,5,5,11,NA
Hyena_373,5,25,5,5,11,NA
Hyena_374,4,23,7,5,NA,NA
Hyena_375,4,43,1,5,NA,NA
Hyena_376,3,6,22,NA,NA,NA
Hyena_379,4,28,1,5,NA,NA
Hyena_380,4,28,1,5,NA,NA
Hyena_381,4,39,1,5,NA,NA
Hyena_382,4,39,1,5,NA,NA
Hyena_383,6,1,2,5,5,11
Hyena_384,4,4,4,1,NA,NA
Hyena_385,4,4,4,1,NA,NA
Hyena_386,4,10,1,5,NA,NA
Hyena_387,4,5,1,5,NA,NA
Hyena_388,3,7,22,NA,NA,NA
Hyena_389,3,7,22,NA,NA,NA
Hyena_390,4,5,1,5,NA,NA
Hyena_391,4,10,5,12,NA,NA
Hyena_392,4,36,1,5,NA,NA
Hyena_393,4,8,1,5,NA,NA
Hyena_394,4,8,1,5,NA,NA
Hyena_395,3,2,8,NA,NA,NA
Hyena_396,3,2,8,NA,NA,NA
Hyena_397,4,29,7,5,NA,NA
Hyena_398,4,29,7,5,NA,NA
Hyena_399,4,13,16,5,NA,NA
Hyena_400,4,13,16,5,NA,NA
Hyena_402,4,15,7,5,NA,NA
Hyena_403,4,15,7,5,NA,NA
Hyena_404,4,33,1,5,NA,NA
Hyena_406,4,34,1,5,NA,NA
Hyena_407,2,17,23,NA,NA,NA
Hyena_408,5,3,5,5,11,NA
Hyena_413,4,18,1,5,NA,NA
Hyena_414,5,3,5,5,11,NA
Hyena_415,4,16,4,4,NA,NA
Hyena_416,4,16,4,4,NA,NA
Hyena_417,4,34,4,4,NA,NA
Hyena_419,4,20,7,5,NA,NA
Hyena_420,4,21,4,1,NA,NA
Hyena_421,4,12,4,4,NA,NA
Hyena_422,4,12,4,4,NA,NA
Hyena_423,4,9,5,12,NA,NA
Hyena_424,4,36,1,5,NA,NA
Hyena_425,4,36,5,12,NA,NA
Hyena_428,2,34,NA,NA,NA,NA
Hyena_430,2,2,23,NA,NA,NA
Hyena_431,2,2,23,NA,NA,NA
Hyena_432,4,1,4,1,NA,NA
Hyena_433,3,1,6,NA,NA,NA
Hyena_434,4,5,4,1,NA,NA
Hyena_436,2,16,23,NA,NA,NA
Hyena_441,3,24,22,NA,NA,NA
Hyena_442,2,33,NA,NA,NA,NA
Hyena_443,2,33,NA,NA,NA,NA
Hyena_446,2,34,NA,NA,NA,NA
Hyena_447,2,10,23,NA,NA,NA
Hyena_452,4,37,1,5,NA,NA
Hyena_454,4,10,4,1,NA,NA
Hyena_458,4,7,4,1,NA,NA
Hyena_459,5,11,30,5,11,NA
Hyena_460,5,11,30,5,11,NA
Hyena_463,5,6,23,4,4,NA
Hyena_464,4,8,16,9,NA,NA
Hyena_465,5,17,6,5,3,NA
Hyena_466,4,2,16,9,NA,NA
Hyena_469,4,21,1,5,NA,NA
Hyena_470,4,21,1,5,NA,NA
Hyena_471,4,12,1,5,NA,NA
Hyena_472,4,12,1,5,NA,NA
Hyena_473,3,14,8,NA,NA,NA
Hyena_474,4,25,1,5,NA,NA
Hyena_475,5,24,18,5,3,NA
Hyena_478,5,3,6,5,3,NA
Hyena_480,3,18,1,NA,NA,NA
Hyena_482,3,22,1,NA,NA,NA
Hyena_484,4,11,1,5,NA,NA
Hyena_485,4,11,1,5,NA,NA
